customerID,gender,SeniorCitizen,tenure,PhoneService,InternetService,Contract,MonthlyCharges,TotalCharges,PaymentMethod,Churn
CUST100900,male,,34.0,Yes,Fiber optic,Two year,47.42,1792.91,Bank transfer,Yes
CUST100765,male,,69.0,Yes,Fiber optic,Month-to-month,77.18,5579.76,Electronic check,no
CUST107550,Male,,20.0,yes,Fiber optic,Month-to-month,94.4,1664.98,Mailed check,Yes
CUST100733,,1.0,64.0,Yes,dsl,One year,105.16,5909.74,Electronic check,No
CUST105909,,,48.0,No,Fiber optic,month-to-month,87.92,4724.53,Bank transfer,No
CUST100568,,,35.0,Yes,Fiber optic,One year,61.02,1881.38,Mailed check,No
CUST101254,Female,1.0,67.0,Yes,dsl,Two year,75.66,5751.82,Credit card,Yes
CUST109601,Female,,35.0,,DSL,One year,66.1,2013.84,Electronic check,Yes
CUST103615,Female,,72.0,,No,Two year,21.63,1533.78,Mailed check,no
CUST108353,Male,,58.0,,,One year,81.22,4059.21,Electronic check,no
CUST105317,,,34.0,yes,DSL,Two year,47.0,1398.26,Credit card,Yes
CUST100039,male,1.0,39.0,,Fiber optic,Two year,70.08,2683.58,Bank transfer,No
CUST109201,FEMALE,1.0,72.0,No,Fiber optic,Month-to-month,108.33,6571.84,Electronic check,no
CUST103392,Female,0.0,20.0,yes,DSL,One year,62.98,1488.04,Mailed check,No
CUST105440,,1.0,32.0,No,dsl,Month-to-month,96.09,3332.51,Credit card,no
CUST103928,Female,,33.0,Yes,No,month-to-month,21.72,759.99,,no
CUST101413,male,,54.0,Yes,DSL,month-to-month,33.1,1937.07,Mailed check,No
CUST105289,male,1.0,27.0,No,dsl,Two year,76.05,1715.6,Mailed check,No
CUST109747,FEMALE,0.0,43.0,Yes,dsl,Two year,38.23,1885.4,Credit card,Yes
CUST109160,,1.0,11.0,No,DSL,One year,25.24,248.69,,Yes
CUST105181,FEMALE,1.0,68.0,,DSL,One year,111.03,6853.62,Electronic check,Yes
CUST105123,,1.0,29.0,yes,Fiber optic,Month-to-month,59.23,1695.09,Bank transfer,no
CUST106421,,,51.0,yes,No,One year,115.7,6565.43,Bank transfer,Yes
CUST109436,male,0.0,29.0,Yes,DSL,month-to-month,108.15,3364.22,,no
CUST103126,FEMALE,0.0,42.0,,dsl,One year,40.04,1420.09,Electronic check,no
CUST108840,FEMALE,0.0,41.0,yes,,Month-to-month,106.41,3686.25,Credit card,No
CUST101957,Female,0.0,51.0,yes,,month-to-month,61.42,3474.69,Mailed check,no
CUST108969,male,0.0,64.0,Yes,DSL,month-to-month,47.17,3453.52,Electronic check,Yes
CUST101183,FEMALE,0.0,25.0,,dsl,month-to-month,97.37,2505.74,Mailed check,No
CUST109103,Male,1.0,16.0,No,Fiber optic,Two year,64.47,1147.9,Electronic check,Yes
CUST104347,FEMALE,1.0,68.0,No,Fiber optic,Two year,70.34,4663.43,,Yes
CUST100251,Male,0.0,58.0,,DSL,month-to-month,103.18,5660.41,Bank transfer,No
CUST101472,Male,0.0,0.0,yes,Fiber optic,Two year,44.48,44.27,Electronic check,NO
CUST106223,FEMALE,1.0,52.0,yes,DSL,Two year,118.31,6130.41,,No
CUST105357,Male,,33.0,Yes,Fiber optic,Two year,39.36,1046.16,,no
CUST100096,FEMALE,,42.0,No,Fiber optic,Two year,116.53,4580.3,Credit card,no
CUST107808,Male,0.0,71.0,,dsl,month-to-month,97.74,5742.85,Bank transfer,no
CUST104792,,0.0,47.0,,No,Month-to-month,64.74,3646.44,Electronic check,no
CUST106483,Female,,45.0,yes,dsl,month-to-month,76.74,3772.05,Credit card,No
CUST104169,FEMALE,1.0,72.0,,Fiber optic,month-to-month,118.8,7804.1,Mailed check,No
CUST102392,FEMALE,0.0,6.0,Yes,,One year,84.52,437.96,Bank transfer,No
CUST102444,FEMALE,1.0,20.0,Yes,DSL,month-to-month,105.89,2084.52,Electronic check,no
CUST104884,FEMALE,,16.0,Yes,DSL,Two year,96.18,1841.76,Mailed check,No
CUST101608,male,1.0,65.0,yes,No,Two year,76.3,5661.36,Credit card,Yes
CUST100107,FEMALE,0.0,27.0,Yes,No,One year,80.24,2551.85,,No
CUST109877,FEMALE,,33.0,,dsl,Two year,82.05,2433.22,Bank transfer,No
CUST101217,Male,0.0,,,Fiber optic,Two year,78.2,,Bank transfer,No
CUST107492,,0.0,68.0,Yes,dsl,One year,29.74,2006.95,Mailed check,no
CUST100303,Male,,57.0,,Fiber optic,Two year,112.35,5827.3,,Yes
CUST109239,,1.0,15.0,,Fiber optic,month-to-month,64.67,933.44,Electronic check,no
CUST102474,Female,1.0,10.0,No,,Month-to-month,28.63,241.4,,Yes
CUST102335,male,1.0,30.0,,,Month-to-month,111.94,3162.26,Mailed check,Yes
CUST101071,male,,27.0,yes,DSL,Two year,114.24,2790.57,Electronic check,no
CUST101512,male,1.0,33.0,,No,One year,69.21,2670.27,Mailed check,no
CUST100169,,,60.0,No,Fiber optic,month-to-month,38.36,2597.73,Credit card,Yes
CUST101626,Female,,64.0,yes,dsl,month-to-month,114.16,6050.87,Electronic check,No
CUST106004,,1.0,70.0,No,dsl,One year,34.53,2660.3,,No
CUST105325,male,,16.0,Yes,,month-to-month,56.26,803.13,Credit card,Yes
CUST100576,Male,,50.0,Yes,Fiber optic,Month-to-month,52.22,2658.11,,no
CUST104047,FEMALE,0.0,64.0,No,DSL,Two year,57.7,3528.58,Bank transfer,no
CUST108752,FEMALE,,42.0,yes,dsl,Month-to-month,103.23,3610.24,Electronic check,No
CUST108140,FEMALE,1.0,0.0,No,No,Month-to-month,62.22,62.06,,yes
CUST106145,,,,,Fiber optic,Month-to-month,57.69,,,No
CUST101650,Female,0.0,10.0,No,,Month-to-month,51.02,451.52,,No
CUST107517,FEMALE,0.0,64.0,yes,,Month-to-month,43.64,2483.59,Electronic check,No
CUST101730,,0.0,68.0,,,Month-to-month,69.1,4759.52,Electronic check,no
CUST108600,,0.0,48.0,No,dsl,month-to-month,85.98,4508.75,Bank transfer,Yes
CUST107063,male,1.0,19.0,No,dsl,Month-to-month,38.1,781.8,Electronic check,Yes
CUST105284,male,1.0,50.0,No,DSL,One year,56.59,3239.46,Electronic check,Yes
CUST109729,Female,,31.0,yes,dsl,Month-to-month,63.54,2146.44,Bank transfer,No
CUST107740,FEMALE,,46.0,yes,DSL,One year,53.11,2779.59,,Yes
CUST100321,FEMALE,0.0,,No,,One year,116.26,,Mailed check,No
CUST109023,Male,,47.0,Yes,Fiber optic,Month-to-month,50.09,2117.56,Bank transfer,no
CUST102191,FEMALE,0.0,,yes,dsl,One year,37.28,,Electronic check,Yes
CUST104151,male,1.0,38.0,yes,No,Month-to-month,88.51,3112.12,Mailed check,No
CUST102973,Male,0.0,7.0,yes,dsl,month-to-month,39.99,323.17,Mailed check,Yes
CUST107875,FEMALE,0.0,8.0,,DSL,Two year,36.97,288.46,Mailed check,No
CUST102487,Female,,55.0,Yes,Fiber optic,Month-to-month,40.02,2072.71,,no
CUST107671,FEMALE,1.0,5.0,,dsl,month-to-month,25.74,103.61,Electronic check,yes
CUST100500,Female,0.0,72.0,,No,Month-to-month,23.39,1422.32,Mailed check,No
CUST100937,male,,22.0,Yes,Fiber optic,Month-to-month,39.45,919.68,Bank transfer,no
CUST102625,Male,0.0,51.0,No,No,month-to-month,58.62,2465.4,Bank transfer,No
CUST104604,FEMALE,1.0,16.0,No,No,Two year,70.37,912.98,Electronic check,no
CUST106017,male,,47.0,,dsl,Month-to-month,28.13,1264.69,Bank transfer,no
CUST104787,Female,1.0,35.0,Yes,,Month-to-month,47.61,1736.12,Electronic check,Yes
CUST100439,,,55.0,yes,DSL,Two year,115.25,5665.51,,Yes
CUST107551,Female,,51.0,,dsl,Two year,115.62,6951.94,Bank transfer,No
CUST100624,Female,,51.0,,Fiber optic,Two year,76.71,3272.46,Electronic check,Yes
CUST101508,,1.0,15.0,Yes,,One year,85.97,1457.24,,no
CUST109345,,0.0,39.0,yes,,month-to-month,61.04,1912.56,Bank transfer,No
CUST108765,male,1.0,70.0,Yes,,One year,88.69,7167.42,Bank transfer,Yes
CUST102534,,1.0,51.0,Yes,Fiber optic,One year,59.65,2881.78,,no
CUST108888,Male,0.0,64.0,Yes,DSL,month-to-month,28.38,2006.93,Bank transfer,No
CUST100655,Male,1.0,13.0,No,dsl,Month-to-month,70.78,760.5,,Yes
CUST103412,Female,1.0,47.0,No,,month-to-month,35.12,1530.63,,Yes
CUST107354,Male,,32.0,No,Fiber optic,Two year,63.65,2229.95,Mailed check,No
CUST100518,FEMALE,1.0,21.0,No,DSL,Two year,61.92,1298.38,Mailed check,Yes
CUST104989,Male,,66.0,No,,month-to-month,82.0,5649.17,,Yes
CUST100346,Female,0.0,24.0,,Fiber optic,Month-to-month,26.42,554.52,Mailed check,No
CUST105130,Female,,0.0,yes,dsl,One year,90.84,96.35,Credit card,NO
CUST102304,Female,0.0,72.0,yes,Fiber optic,month-to-month,93.61,7338.05,Electronic check,No
CUST102138,,,65.0,,Fiber optic,month-to-month,105.66,5881.54,Electronic check,Yes
CUST100315,Female,,57.0,,DSL,Month-to-month,74.38,4789.05,Electronic check,no
CUST109363,Female,0.0,72.0,yes,,One year,90.25,7146.31,Mailed check,No
CUST100673,FEMALE,1.0,34.0,yes,dsl,Two year,60.08,2220.94,Bank transfer,no
CUST102996,male,1.0,67.0,yes,DSL,Two year,85.64,4607.11,,no
CUST109638,,0.0,41.0,No,dsl,Month-to-month,51.44,2164.09,,no
CUST103352,FEMALE,,23.0,No,No,One year,55.67,1147.66,Mailed check,Yes
CUST100483,male,,20.0,yes,DSL,Two year,46.26,1053.94,Credit card,no
CUST101683,,,71.0,yes,,Month-to-month,107.17,7026.39,Bank transfer,Yes
CUST108882,FEMALE,1.0,4.0,Yes,DSL,Two year,23.45,99.07,Bank transfer,Yes
CUST109050,,1.0,19.0,,dsl,month-to-month,101.87,1621.52,Mailed check,no
CUST107610,,1.0,16.0,,,One year,101.78,1922.77,,Yes
CUST108911,male,1.0,72.0,,Fiber optic,month-to-month,91.3,5854.41,Bank transfer,no
CUST101123,Male,0.0,,,No,Two year,36.55,,,Yes
CUST105576,FEMALE,1.0,8.0,Yes,dsl,One year,47.47,387.1,Bank transfer,No
CUST106266,male,1.0,72.0,No,DSL,One year,99.29,8308.82,Electronic check,no
CUST101595,male,,47.0,No,No,Two year,86.95,4168.48,Mailed check,No
CUST100761,male,0.0,3.0,Yes,dsl,month-to-month,74.21,189.61,Credit card,NO
CUST108664,,,36.0,,No,Month-to-month,93.2,2923.12,Electronic check,no
CUST108349,,0.0,53.0,,dsl,month-to-month,36.58,1839.36,Electronic check,no
CUST107496,Female,1.0,50.0,,Fiber optic,One year,,,,no
CUST102029,male,1.0,71.0,yes,dsl,Two year,60.53,4410.04,Bank transfer,no
CUST106835,,0.0,59.0,Yes,No,Month-to-month,95.79,4561.94,Electronic check,Yes
CUST103963,Female,1.0,,,dsl,Month-to-month,87.11,,Bank transfer,no
CUST107498,,0.0,20.0,yes,Fiber optic,One year,104.81,2318.25,Mailed check,No
CUST100259,FEMALE,1.0,43.0,,,One year,21.52,786.58,Bank transfer,Yes
CUST103094,Female,,43.0,,dsl,Month-to-month,74.59,2753.63,Credit card,No
CUST100952,FEMALE,1.0,47.0,,dsl,Month-to-month,72.09,3253.76,,Yes
CUST109817,Female,,50.0,No,DSL,month-to-month,23.86,1087.39,,no
CUST104055,FEMALE,0.0,23.0,Yes,DSL,month-to-month,73.38,1998.03,Mailed check,Yes
CUST107286,male,1.0,15.0,,dsl,Two year,54.68,969.87,Bank transfer,no
CUST100311,male,0.0,36.0,Yes,No,month-to-month,43.01,1510.94,Bank transfer,Yes
CUST104693,Male,0.0,66.0,yes,dsl,One year,110.04,8126.92,Electronic check,Yes
CUST102128,,1.0,70.0,No,Fiber optic,Month-to-month,101.52,6055.03,,No
CUST107207,Female,,22.0,yes,No,Two year,46.42,1209.28,,No
CUST100932,,0.0,43.0,Yes,,month-to-month,117.35,4223.4,Bank transfer,no
CUST100031,male,0.0,19.0,yes,Fiber optic,month-to-month,111.64,2097.85,Bank transfer,no
CUST100035,Male,1.0,37.0,yes,DSL,One year,111.83,3507.16,,Yes
CUST106096,Male,,5.0,No,dsl,Month-to-month,100.14,546.28,Credit card,Yes
CUST106556,Male,1.0,41.0,,Fiber optic,month-to-month,116.76,4085.39,Bank transfer,Yes
CUST109228,Female,0.0,53.0,No,No,Two year,92.44,4927.81,Mailed check,no
CUST106601,FEMALE,1.0,31.0,No,No,month-to-month,115.53,3861.44,Electronic check,No
CUST108786,FEMALE,,38.0,,Fiber optic,One year,70.71,2601.28,Credit card,No
CUST106128,Male,1.0,66.0,No,dsl,Month-to-month,98.16,5695.06,Credit card,No
CUST103378,,1.0,68.0,No,DSL,One year,96.36,7455.15,Mailed check,Yes
CUST105382,Female,,16.0,,,Two year,112.41,2109.13,,No
CUST102818,Male,1.0,11.0,No,No,Month-to-month,81.05,1049.98,,NO
CUST104049,,0.0,9.0,Yes,Fiber optic,One year,37.78,327.16,,No
CUST108221,FEMALE,,34.0,,DSL,Two year,98.83,3282.7,Bank transfer,no
CUST106394,male,0.0,20.0,yes,DSL,Two year,70.82,1661.41,Mailed check,Yes
CUST109284,Female,,37.0,No,dsl,Two year,78.38,3078.25,Bank transfer,No
CUST103520,Male,,27.0,,dsl,One year,109.67,2486.37,Bank transfer,No
CUST106728,FEMALE,,60.0,Yes,DSL,month-to-month,30.07,1979.62,Electronic check,Yes
CUST105306,FEMALE,0.0,12.0,No,dsl,Two year,114.01,1564.95,Bank transfer,No
CUST100295,FEMALE,1.0,5.0,No,dsl,One year,98.87,434.13,Mailed check,NO
CUST102724,Female,,9.0,No,Fiber optic,Two year,85.39,772.36,,Yes
CUST107767,Female,,38.0,,No,Two year,29.65,1113.08,Bank transfer,No
CUST100080,,,35.0,No,DSL,One year,79.74,2948.98,Electronic check,no
CUST105584,male,1.0,14.0,Yes,DSL,One year,43.81,613.75,,Yes
CUST101953,FEMALE,1.0,54.0,Yes,,Two year,105.25,5702.05,,no
CUST103393,Female,1.0,65.0,Yes,No,month-to-month,32.58,2236.77,Credit card,No
CUST108857,,,12.0,yes,,One year,71.79,870.61,,Yes
CUST104010,,0.0,2.0,Yes,,Two year,24.04,48.88,Credit card,Yes
CUST106727,FEMALE,1.0,8.0,,,One year,101.0,968.34,,No
CUST101310,Female,0.0,15.0,No,DSL,Two year,28.25,412.33,Electronic check,Yes
CUST109923,Female,1.0,33.0,No,,Two year,26.43,963.55,Credit card,No
CUST108265,FEMALE,1.0,35.0,No,No,Month-to-month,115.15,4774.09,Credit card,Yes
CUST100119,,0.0,11.0,,No,Month-to-month,58.48,762.9,Credit card,yes
CUST103889,FEMALE,0.0,26.0,Yes,DSL,month-to-month,88.03,2247.49,Bank transfer,no
CUST104779,Male,,69.0,No,DSL,One year,76.2,5635.48,,no
CUST106843,FEMALE,0.0,38.0,Yes,,Month-to-month,52.67,1975.98,Bank transfer,no
CUST103208,Male,,3.0,,Fiber optic,One year,38.12,121.93,Credit card,NO
CUST108827,male,,67.0,No,DSL,month-to-month,113.9,7032.5,,no
CUST108479,male,1.0,66.0,Yes,dsl,month-to-month,50.15,3718.15,Bank transfer,Yes
CUST104972,male,0.0,65.0,,DSL,Two year,65.51,3844.03,Electronic check,no
CUST107581,Male,1.0,37.0,yes,dsl,Two year,83.25,3529.56,Bank transfer,No
CUST103538,Male,0.0,60.0,No,DSL,One year,45.58,3023.96,Bank transfer,Yes
CUST102515,male,0.0,14.0,No,,Month-to-month,42.6,577.11,Bank transfer,no
CUST107881,,0.0,35.0,yes,No,month-to-month,44.73,1828.21,Credit card,No
CUST102189,,0.0,65.0,No,Fiber optic,month-to-month,98.04,5538.66,Mailed check,no
CUST105729,Male,,35.0,,,Two year,81.05,2552.66,Credit card,No
CUST103869,FEMALE,0.0,52.0,,dsl,Month-to-month,91.19,3919.5,,no
CUST107722,Male,1.0,53.0,No,,Two year,87.21,5294.8,Mailed check,No
CUST101145,,,41.0,Yes,dsl,Two year,,,Credit card,Yes
CUST101453,male,1.0,25.0,,DSL,One year,34.86,840.29,Electronic check,Yes
CUST107709,Male,,47.0,,dsl,Two year,57.93,2546.57,Credit card,No
CUST102319,Female,1.0,60.0,No,Fiber optic,One year,59.28,3144.43,Credit card,No
CUST103350,Male,,5.0,yes,dsl,One year,24.47,103.7,Electronic check,NO
CUST102960,Male,,24.0,,dsl,Month-to-month,88.2,2133.36,,no
CUST104518,male,0.0,15.0,yes,dsl,One year,40.12,603.24,Bank transfer,No
CUST101458,FEMALE,1.0,23.0,No,,Two year,53.41,1006.79,,Yes
CUST100304,FEMALE,0.0,2.0,Yes,No,One year,54.04,92.14,,No
CUST109084,male,1.0,9.0,Yes,DSL,One year,22.09,225.24,Bank transfer,NO
CUST100321,FEMALE,0.0,,No,,One year,116.26,,Mailed check,No
CUST103397,Male,0.0,32.0,No,Fiber optic,Two year,53.26,1977.32,,No
CUST105386,,1.0,35.0,No,No,month-to-month,119.97,4545.47,Electronic check,no
CUST104768,,1.0,43.0,Yes,No,Month-to-month,60.9,2879.1,Electronic check,Yes
CUST108312,Female,0.0,70.0,No,DSL,One year,65.98,4578.04,Electronic check,no
CUST101543,,,71.0,yes,dsl,One year,,,Credit card,Yes
CUST102045,Male,,18.0,Yes,No,One year,72.78,1560.18,,no
CUST101355,,1.0,13.0,No,Fiber optic,Month-to-month,38.15,480.48,,Yes
CUST100621,FEMALE,0.0,63.0,yes,No,Month-to-month,70.21,4109.44,,Yes
CUST102252,Male,0.0,58.0,Yes,dsl,One year,63.19,3001.5,Mailed check,No
CUST108086,Female,0.0,50.0,Yes,Fiber optic,One year,78.93,3376.26,Credit card,No
CUST102684,male,1.0,16.0,,No,One year,101.99,1471.82,Mailed check,No
CUST104850,male,1.0,31.0,No,,month-to-month,41.72,1491.38,Credit card,Yes
CUST109809,FEMALE,,52.0,No,Fiber optic,One year,41.83,2067.78,Mailed check,No
CUST103401,male,,72.0,Yes,No,Month-to-month,53.69,3487.89,Bank transfer,No
CUST102157,male,1.0,32.0,yes,No,Two year,77.37,2511.94,Electronic check,no
CUST105356,Male,1.0,58.0,Yes,,Month-to-month,99.47,5051.77,Electronic check,no
CUST103909,FEMALE,,2.0,Yes,DSL,month-to-month,63.1,144.16,Electronic check,Yes
CUST106855,Male,1.0,,Yes,dsl,Two year,52.65,,Bank transfer,no
CUST104228,male,0.0,7.0,Yes,DSL,One year,98.0,581.08,Credit card,Yes
CUST105994,Female,,53.0,,dsl,One year,48.83,2273.17,,no
CUST107001,,,68.0,Yes,DSL,One year,20.88,1344.86,,Yes
CUST103745,,,17.0,,Fiber optic,One year,95.64,1344.8,Mailed check,Yes
CUST101022,Male,0.0,62.0,Yes,DSL,Two year,110.66,7155.37,Mailed check,No
CUST106382,male,0.0,64.0,,DSL,Two year,27.88,1560.24,Credit card,no
CUST107269,,1.0,0.0,yes,No,month-to-month,92.69,82.97,Mailed check,NO
CUST103209,Male,1.0,68.0,,dsl,month-to-month,63.94,3775.61,Electronic check,No
CUST103071,,0.0,43.0,Yes,dsl,Two year,50.61,2483.53,Credit card,no
CUST107582,,1.0,49.0,Yes,DSL,Two year,52.37,2133.09,Mailed check,No
CUST108083,Male,1.0,,,No,month-to-month,114.54,,Bank transfer,No
CUST103602,Female,,42.0,No,,Month-to-month,20.35,1014.09,Electronic check,no
CUST105333,,,21.0,,dsl,Two year,60.14,1277.66,Credit card,no
CUST102254,male,0.0,23.0,Yes,DSL,month-to-month,64.78,1428.32,Bank transfer,No
CUST100373,,,66.0,Yes,DSL,One year,92.12,5050.55,Credit card,Yes
CUST109356,FEMALE,1.0,66.0,No,dsl,Two year,102.13,7607.24,Electronic check,no
CUST101833,Male,0.0,70.0,Yes,Fiber optic,Month-to-month,94.72,6407.57,Electronic check,No
CUST108688,male,,0.0,,DSL,month-to-month,108.87,88.53,Electronic check,Yes
CUST102519,,,18.0,yes,dsl,Month-to-month,60.64,1255.42,Credit card,Yes
CUST103608,,1.0,40.0,,,Two year,103.04,3956.72,Electronic check,no
CUST101593,male,1.0,10.0,,No,Month-to-month,112.87,1313.05,Mailed check,NO
CUST101702,FEMALE,1.0,3.0,Yes,No,Month-to-month,70.64,248.3,Electronic check,yes
CUST106562,FEMALE,,2.0,Yes,Fiber optic,month-to-month,53.87,126.22,Electronic check,NO
CUST108446,Female,0.0,62.0,yes,Fiber optic,Two year,59.33,4044.04,Mailed check,No
CUST102766,Male,,36.0,yes,,One year,,,Bank transfer,No
CUST106734,male,1.0,56.0,yes,dsl,Two year,35.75,2349.68,Electronic check,No
CUST102122,Female,1.0,68.0,Yes,No,month-to-month,58.36,4708.89,Electronic check,no
CUST103473,,,42.0,yes,DSL,month-to-month,72.88,2920.14,,No
CUST105969,Female,0.0,18.0,,DSL,month-to-month,23.08,397.62,Mailed check,No
CUST101087,FEMALE,1.0,12.0,,dsl,Month-to-month,80.06,838.79,Credit card,No
CUST106902,,,65.0,,DSL,One year,67.23,3620.87,,no
CUST107771,male,,41.0,yes,DSL,One year,87.69,3135.34,Credit card,no
CUST102948,,0.0,35.0,No,DSL,Two year,39.73,1317.52,Mailed check,no
CUST106390,,,20.0,No,dsl,Two year,67.03,1366.51,Mailed check,No
CUST106110,male,,43.0,yes,Fiber optic,Month-to-month,50.76,1756.67,Mailed check,No
CUST101107,male,0.0,34.0,Yes,dsl,month-to-month,104.26,3250.36,,No
CUST106277,male,0.0,50.0,,dsl,Two year,98.62,4049.09,Electronic check,Yes
CUST103880,,0.0,18.0,Yes,,One year,108.2,2222.48,,Yes
CUST105477,Female,1.0,31.0,No,DSL,month-to-month,95.59,2675.72,Credit card,no
CUST105427,,,37.0,yes,dsl,One year,54.63,2079.82,Bank transfer,no
CUST109636,Male,,50.0,No,,month-to-month,37.6,2236.95,Electronic check,no
CUST109600,Male,,65.0,No,dsl,Two year,44.68,2769.8,Credit card,Yes
CUST100713,male,0.0,49.0,Yes,dsl,Month-to-month,91.12,4840.84,,No
CUST105746,Female,0.0,39.0,Yes,,month-to-month,89.41,3765.14,Bank transfer,no
CUST104718,Male,0.0,23.0,Yes,DSL,Month-to-month,40.34,1009.11,Mailed check,Yes
CUST103543,,0.0,26.0,,dsl,Month-to-month,105.59,3137.33,Electronic check,no
CUST108695,,0.0,4.0,No,DSL,Two year,98.35,365.91,Mailed check,NO
CUST108131,Female,1.0,63.0,No,Fiber optic,month-to-month,74.95,4363.97,Credit card,Yes
CUST108452,male,,6.0,No,Fiber optic,One year,56.07,298.86,Bank transfer,NO
CUST102826,male,,30.0,,No,Month-to-month,119.75,3439.77,,No
CUST103379,FEMALE,1.0,33.0,yes,DSL,One year,25.73,970.0,Electronic check,no
CUST105071,Female,,70.0,yes,Fiber optic,Month-to-month,100.51,6183.09,Mailed check,Yes
CUST104335,FEMALE,1.0,31.0,Yes,,Two year,66.1,1755.74,Electronic check,No
CUST105718,male,0.0,43.0,yes,,One year,98.36,4386.45,Electronic check,Yes
CUST108850,,0.0,13.0,Yes,DSL,Two year,95.27,1481.09,Bank transfer,Yes
CUST101760,FEMALE,0.0,29.0,,No,One year,69.25,2160.69,Bank transfer,No
CUST108317,male,,53.0,yes,Fiber optic,month-to-month,96.04,5711.75,Mailed check,Yes
CUST102012,Female,1.0,29.0,Yes,dsl,Month-to-month,101.3,3245.99,,No
CUST107690,FEMALE,1.0,11.0,No,,One year,25.61,327.08,Mailed check,yes
CUST109258,FEMALE,,62.0,yes,Fiber optic,Two year,90.64,6704.2,Credit card,No
CUST104119,,1.0,24.0,No,,Month-to-month,60.19,1668.21,Credit card,no
CUST107873,male,0.0,32.0,,No,One year,38.4,995.49,Electronic check,No
CUST102648,FEMALE,0.0,43.0,No,DSL,Month-to-month,50.26,2008.61,Credit card,Yes
CUST105269,male,1.0,58.0,,dsl,Two year,50.08,2420.87,Credit card,Yes
CUST105362,FEMALE,1.0,71.0,yes,dsl,Month-to-month,70.22,4141.95,Mailed check,Yes
CUST103131,,0.0,25.0,,,Two year,,,Electronic check,no
CUST102453,Female,1.0,69.0,yes,No,Two year,41.82,2355.07,Mailed check,no
CUST106739,Male,1.0,24.0,yes,dsl,Two year,26.74,560.2,Credit card,no
CUST107925,FEMALE,1.0,27.0,,,Month-to-month,22.56,501.95,Mailed check,no
CUST108011,Female,,18.0,,No,Two year,44.33,872.13,Mailed check,Yes
CUST100119,,0.0,11.0,,No,Month-to-month,58.48,762.9,Credit card,yes
CUST109236,,,31.0,Yes,dsl,month-to-month,44.18,1504.51,Bank transfer,No
CUST109326,,,10.0,yes,,One year,62.13,691.87,Bank transfer,Yes
CUST107131,,1.0,27.0,Yes,No,Month-to-month,111.03,2873.47,Electronic check,No
CUST100335,male,,18.0,,Fiber optic,One year,99.83,1587.16,Bank transfer,Yes
CUST101660,Female,1.0,59.0,No,Fiber optic,One year,31.23,1906.53,Credit card,no
